,text,sentiment
0,回复小珍/呵呵只是第一次谈恋爱没眼光,0.513521397072
1,如果关姐姐真是你的女友了 饭们替你守护 好嘛？,0.964813700109
2,凭什么你们不接受关晓彤，她惹你们了么？还说为什么关晓彤，人家喜欢呗，怎么，那鹿晗还要单身一辈子么，现在的人都是什么玩意。,0.00525771693654
3,    h，戏子挡道！,0.599238064565
4,xxk u h,0.257735544405
5,受不了，取关，喜欢了你五年鹿,0.139256213499
6,回復陈赫赤赤告訴我不是真的,0.0204040324777
7,我有一个朋友很像温衡，多么想把她介绍给像言希的你,0.981684292915
8,回复猫的树和狗的你不陪,0.800096587729
9,回复小珍/呵呵只是第一次谈恋爱没眼光,0.513521397072
10,如果关姐姐真是你的女友了 饭们替你守护 好嘛？,0.964813700109
11,凭什么你们不接受关晓彤，她惹你们了么？还说为什么关晓彤，人家喜欢呗，怎么，那鹿晗还要单身一辈子么，现在的人都是什么玩意。,0.00525771693654
12,    h，戏子挡道！,0.599238064565
13,xxk u h,0.257735544405
14,    h，戏子挡道！,0.599238064565
15,xxk u h,0.257735544405
16,受不了，取关，喜欢了你五年鹿,0.139256213499
17,回復陈赫赤赤告訴我不是真的,0.0204040324777
18,我有一个朋友很像温衡，多么想把她介绍给像言希的你,0.981684292915
19,唉  什么社会   人家谈个恋爱你们搞什么粉转黑    说实际的  你做他粉丝人家就一定要娶你   各个逗逼出来搞笑的吧   搞得最近娱乐新闻全都是这事   一群脑残追星,0.688149688193
20,点赞我的以后发财💰,0.863097369863
21,回复安慕西鹿饭傻子,0.0741942882672
22,#,0.25
23,回复王祖藍渣男,0.421225885739
24,啊！！ 假的 假的 不可能,0.15922654461
25,不会吧,0.395080627269
26,祝你幸福，鹿哥,0.981550890334
27,不喜欢关晓彤，她为什么会跟鹿晗谈，跟谁不好,0.0946820972081
28,祝福你们，，不会再爱了,0.938761786804
29,脱饭,0.5
30,回复暗蝶漓荡对,0.186029873598
31,回复真珠美学y圆圆关晓彤不要脸,0.802219857515
32,脱饭,0.5
33,回复暗蝶漓荡对,0.186029873598
34,回复真珠美学y圆圆关晓彤不要脸,0.802219857515
35,自己高兴就好，评论是别人说的，女朋友是自己的，生活是自己过的，开心就好,0.960861754456
36,回复高景瀚觉得是假的举手,0.330530979325
37,回复没必要呀,0.0849988286402
38,#,0.25
39,你和关晓彤同时发出微博的时候，我的心是凉的，你把我对你的希望变成了失望😔,0.0309078702138
40,回复陈浩南为什么关晓彤也发了,0.0519692274667
41,回复陈浩南为什么关晓彤也发了,0.0519692274667
42,大家觉得是假的点赞,0.989077222587
43,回复真珠美学y圆圆见过贱的，没见过你这么贱的,0.752518159031
44,不喜欢关晓彤的赞我,0.799780086791
